author;message;like_count;time
@brennobarbosa5413;Vergonha de ser brasileiro;1;2024-09-17T00:27:07Z
@isaalencar9051;Datena É louco 😮😮;1;2024-09-17T00:10:34Z
@AdeildoMuniz;Caldeirada foi pouco para esse vagabundo noia;0;2024-09-16T23:53:16Z
@SAAGHS1;DATENA REALIZOU O SONHO DE UM BRASIL INTEIRO! ❤;0;2024-09-16T23:50:58Z
@Carlozeirense;Já imaginou se é o contrário, se o 'Dá pena' que tivesse sofrido a agressão? Imagina essas emissoras esquerdistas?;5;2024-09-16T23:48:30Z
@Carlozeirense;Não sei o que é pior, o 'Dá pena' desesperado, ou a CNPTN tentando defender o 'Dá pena!';2;2024-09-16T23:47:04Z
@carioca1811;Muito bom;0;2024-09-16T23:35:54Z
@Jhon-e8l;A galera que prega o amor é sempre a primeira a partir pra agressāo .;0;2024-09-16T23:31:47Z
@solracboy7024;Virei fã número um do Datena e olha que sou Mineiro. Compraria até uma camisa dele.;0;2024-09-16T23:14:11Z
@Mr15051979;Pobre dos próximos quatro anos de São Paulo!;0;2024-09-16T23:01:06Z
@donizettibatista4970;Você tem razão Datena;0;2024-09-16T22:18:02Z
@joseaugustofigueiredo2796;Pô! O cara dá uma cadeirada no outro, só porque ouviu este dizer que tentou pegar a pomba e não conseguiu, geralmente ficam injuriados quando a pomba pousa em seu território e não consegue pegar, deveria tratar essa fissuração senão pode se enganar e acaba pegando algo como uma  rola ao invés de uma pomba.;0;2024-09-16T21:27:43Z
@Jambowisme;A cadeira está bem ??;0;2024-09-16T21:17:36Z
@andersonviana7550;Dizem que Pablo irá ser falecido em um acidente de automóvel no dia 27 09 2024 por volta das 17:43. Dináhda.;0;2024-09-16T21:02:48Z
@samueljaques-w1x;❤❤❤❤❤❤❤❤❤❤;0;2024-09-16T20:59:14Z
@SebastiaoFernandeteixeira;Parabéns Datena se todos políticos fosse assim eu não tinha político corrupto;0;2024-09-16T20:48:06Z
@Pedroaraujo-gy1sm;Kkkkk parece que foi combinado 😅;0;2024-09-16T20:40:43Z
@luanasantos1807;Meu o cara nao aguenta ser provocado pelo Marçal como quer ser prefeito? No primeiro problema pronto 😅😅😮;0;2024-09-16T20:38:46Z
@alessandroneres7917;Datenão promete e faz 😂😅Bota Ordem Nessa Política kkk;0;2024-09-16T20:33:59Z
@fernandodias3949;Pobre Sp;0;2024-09-16T20:20:13Z
@Invsto0;O datena levou ao pé da letra debate;0;2024-09-16T20:12:26Z
@Vivaavida526;Kkkkkkk;0;2024-09-16T19:58:30Z
@laoalex4525;Vai Datena vai Datena vai Datena;0;2024-09-16T19:56:15Z
@sassy4655;Esse é o amor da esquerda! O AMOR VENCEU!!!!!❤❤❤❤❤❤❤ Imagina se fosse um candidato de direita fazendo isso.;0;2024-09-16T19:34:07Z
@Luuyy4;Datena foi um divo kakakakakaa;0;2024-09-16T19:33:20Z
@MonstroX-z8v;luta livre política - https://www.youtube.com/watch?v=CcwojbVUFDU;0;2024-09-16T19:19:36Z
@Tsypras;Parabéns, Datena. Só pecou por não ter batido mais;0;2024-09-16T19:15:05Z
@lucilenebaiadacruz5477;E agora? Ainda duvida que ele é homem?😂;0;2024-09-16T19:05:29Z
@cristinapetry9767;😮😮😮;1;2024-09-16T18:54:31Z
@eduardobento6954;Não foi nada, choque normal. Segue o jogo!;0;2024-09-16T18:52:39Z
@eupandoka;datena o pano é rosa com glitter pra você 💅🏼;0;2024-09-16T18:25:54Z
@eupandoka;TV CULTURA LOVE U;0;2024-09-16T18:24:34Z
@angelmatrizMagno;Gosto de Marçal. . . Ele consegue transformar um Chá de BB em uma Faixa de Gaza. Resumindo . . . sabe fazer um anjinho chorão, mostrar suas verdadeiras Garras !😂😂😂;4;2024-09-16T18:24:29Z
@fernandosantossilva885;QUE BARBARIDADE;0;2024-09-16T18:19:05Z
@carlossoares3011;Kkk.Ganhou meu voto Datena;0;2024-09-16T18:16:14Z
@jeisianesouza7122;😂😂😂😂;0;2024-09-16T17:58:49Z
@brasilaventuradetectorismo1607;sempre chingando os agressores agora virou um agressor perdeu a linha o kiko perdeu a linha com o Marcial 😂😂😂😂😂;1;2024-09-16T17:50:03Z
@Lucas19962;Datena é raiz, foi dizer que o cara não era homem, levou 😂😂;0;2024-09-16T17:49:39Z
@franciscovictor7001;So de ter feito isso, ja tem meu voto!!!!;0;2024-09-16T17:49:34Z
@samsimple31;Datena fez o que já deveriam ter feito.;0;2024-09-16T17:48:14Z
@Patrona.;'não datena😢😮'KKKKKKKKKKKKKKK;0;2024-09-16T17:46:43Z
@franciscovictor7001;Achei foi bem feito, quero ver duvidar agora kkkkkkkkk;0;2024-09-16T17:46:20Z
@idenrqlpp;achei que foi pouco!!!;0;2024-09-16T17:39:09Z
@tiagofreitas7200;Nunca diga Vc não é Homem! porque isso é muito baixo;1;2024-09-16T17:27:55Z
@susanan8007;Baixaria ridícula! Palavrões que só rebaixam o ser humano que fala!! Pensa que se torna poderoso quando abre a boca pra falar palavrões! Só mostra o quanto se é mal educado. Povo sem Fé! Sem Deus!;0;2024-09-16T17:26:32Z
@NobreDoSampGm;kkkkkkkkkkkkkkkkkk;0;2024-09-16T17:25:03Z
@drafenno;uma cadeirada só  foi pouco .;0;2024-09-16T17:24:19Z
@negociosnatela;Vai votar em quem depois dessa? Responde aí:;0;2024-09-16T17:22:46Z
@TerezinhaQuintino-s1q;Marçal futuro prefeito de São Paulo;0;2024-09-16T17:20:22Z
@antoniomartinscampos7875;Esse cara brincou com Datena ele perdeu a razão com razão;0;2024-09-16T17:15:47Z
@opoderdamulherqueora;Datena = Herói Nacional;0;2024-09-16T17:10:34Z
