author;message;like_count;time
@Mayaotsu;Que obra de arte;0;2024-10-18T11:40:49Z
@SrAnônimo-lg;'SEU FILHO DA- Mostra os comerciais!';1;2024-10-18T00:41:47Z
@Davi-edits_o_brabo;Pablo vendo esse  vídeo ele -😡😡😡;0;2024-10-17T19:19:43Z
@brenorodrigues44135;0:18 0:20 0:24;4;2024-10-17T02:25:52Z
@hinogospell2405;podia dar uma voadora;0;2024-10-16T17:41:34Z
@roseliaparecidaburatto7585;Foi muito engraçado;0;2024-10-16T16:59:51Z
@massimosguitartrainer8440;DATENA NÃO É HOMEM....... DESCOBRIMENTO DO BRASIL!;1;2024-10-16T16:36:18Z
@Frisk-undertale1937;O datena depois Datena: É brin💺;1;2024-10-16T00:31:14Z
@rengokopassos6828;Kkkk;0;2024-10-15T21:27:34Z
@umiumi1582;Pessoas que sabem o valor do RESPEITO reconhecem quem não respeita. O candidato precisa saber que estará representando um povo, e não a si próprio. Se “si próprio” não se bem apresenta, como bem representará todo um povo?;0;2024-10-15T17:36:08Z
@Diego-sb4br;É o sonho de todas as pessoas decentes darem uma cadeirada em um fascista. O Datena deveria ser eleito prefeito de São Paulo só por isso;2;2024-10-15T16:11:23Z
@arthurfigueiredo9609;Nossa eu não canso de rir dessa cadeirada 🤣🤣🤣🤣🤣🤣🤣🤣🤣🪑🤕;0;2024-10-15T15:02:12Z
@VitóriaFerreira-l9z;Ja to vendo os meus filhos no futuro com um para casa contando sobre a cadeirada que o Marçal levou;1;2024-10-14T23:48:13Z
@SuperP1TR0;O MAIS ENGRAÇADO É O FINAL, 'Roda os comerciais por favor' KKKKK;1;2024-10-14T22:34:53Z
@fernand04fonso;Épico! Momento alto a cadeirada do Datena no Marçal ksksksk 🤣🤣🤣;0;2024-10-14T20:47:02Z
@FelipeVieira-x1w;Vim do futuro pra dizer que os dois assistiram o vídeo juntos e dando risada;1;2024-10-14T18:35:16Z
@Alexzixtt;Tomou só uma voador de cadeia 👍;1;2024-10-14T17:31:59Z
@chavesbooks;KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKLKKKK;0;2024-10-14T14:01:45Z
