author,message,like_count,time
@EvaniltonSouza-tu4hg,Datena caderada nele .,0,2024-09-16T16:31:09Z
@franoliveira6686,É normal ate animais brigam pra liderar kkkkkkkkkk instinto natural da vida kkkkkk😂,0,2024-09-16T16:27:40Z
@superrandom9598,Pão e Circo.,0,2024-09-16T16:17:04Z
@LOJASDAHORAOFICIAL,hahahahaahahah<br>DAPENA,0,2024-09-16T16:16:46Z
@ruiwilson1237,"PAREM COM AGRESSÕES VERBAIS E CORPORAIS , SP NAO QUER CANDIDATOS DESEQUILIBRAD0S",1,2024-09-16T16:16:18Z
@ruiwilson1237,Datena caiu na armadilha do cara,1,2024-09-16T16:14:52Z
@caioviniciusaguiar1570,"VALEU DATENA, FEZ O QUE MUITOS QUERIAM",0,2024-09-16T16:12:17Z
@valeriasilva6421,"Desrespeito e &quot;macholencia&quot; , mas sobretudo, o marketing, lamentável...😢😢",0,2024-09-16T16:10:05Z
@gustavomirandaazevedo2345,É um bom ator😂😂,0,2024-09-16T16:10:03Z
@jobaccountjob4297,É muito dinheiro em jogo.,0,2024-09-16T16:09:49Z
@SilvanaLac,Espero que S. Paulo não vote nesse Marçal. Ele é nível baixo demais prá S. Paulo.,0,2024-09-16T16:05:32Z
@itamararibeirodesouzalima1155,"Kkk isso sim é uma grande show de horrores.<br>   Boçal q gosta de provocar,e quando a resposta vem,da uma de mocinha 🙄",2,2024-09-16T16:03:17Z
@mariaconceicao4398,"Como ja disse  a minha mãe  , tá  todo mundo brigando  agora,  pra entrar  na política,  ninguém  quer largar o osso kkkkkkk",0,2024-09-16T16:00:16Z
@jefersonoliveira3745,"Se o cara não aguentou a pressão do Marçal, vai aguentar a pressão de são Paulo KAKAKAK",0,2024-09-16T15:59:39Z
@mariaconceicao4398,Que vergonhoso  kkkko,0,2024-09-16T15:58:31Z
@luizmello7020,A QUADRILHA DO BOZONARO 😂😂😂😂 💎🤡💰🤡 MARÇAL NAO PASSA DE UM ESTELIONATÁRIO IGUAL O BOZO 💎💎💎,0,2024-09-16T15:55:23Z
@viniciuspereira4791,Eu quero ver as pesquisas depois deste fato...😅😅😅,0,2024-09-16T15:54:55Z
@SergioPereira-c7j,Uma vergonha como a vontade de lascar com o povo e fica mais e mais ricos faz com as pessoas,0,2024-09-16T15:54:26Z
@Medicina_alienígena,"Se Pablo Marçal tivesse agredido Datena com a banqueta, a essas horas já estaria: Preso inelegível e multado em milhões... simples assim. Marçal só repetiu o que a velha imprensa já tinha noticiado.",0,2024-09-16T15:54:25Z
@MaiconFoxSP,"Engraçado isto ,se 1 pobre da um tapa em alguém, ou xinga é preso na hora ,já um cara que se diz respeitoso da 1 cadeirada em alguém sai dando entrevista e nada acontece isto é Brasil infelizmente lixo.",0,2024-09-16T15:53:29Z
@EmanuelSilva-o5o,🙉,0,2024-09-16T15:50:38Z
@EmanuelSilva-o5o,🙉,0,2024-09-16T15:49:47Z
@RodrigoBastos-dl7gc,"Estamos fazendo a mesma coisa que a esquerda: apoiando vagabundo por suposta ideologia. Vagabundo é Vagabundo, na esquerda ou direita",0,2024-09-16T15:49:09Z
@scothmota1,Datena está desestabilizado. Marçal sabe como fazer isso. Caiu na lança! Datena pode largar a eleição e entregar pro Boules os votos.,1,2024-09-16T15:41:54Z
@sidneicp6858,"O cara falar que o outro não é homem, quer é apanhar mesmo",0,2024-09-16T15:40:21Z
@adifartube,Parabéns Datena lavou a alma dos velhinhos que o charlatão roubou.,1,2024-09-16T15:39:54Z
@marcio2k11,"O cara não tem nem controle emocional pra gerenciar uma provocação em um simples debate, imagina o que faria se estivesse na prefeitura de uma cidade como São Paulo.  E o Boulos com a mão na sintura batendo boca ali no final, louco pra aproveitar a treta e jogar uma cadeira tmb kkkkk..  é amigos,  vcs aí de SP tão ferrados pra votar kkkkk...",0,2024-09-16T15:39:35Z
@leandroleo-i8s,boa datena!,0,2024-09-16T15:36:11Z
@marialilianasilva6958,Achei pouco kkkkkkkk,0,2024-09-16T15:34:56Z
@Fuckeromem,"Tá pensando o que Marçal, tá achando que o Datena é igual o Bolsonaro arregão é ?",0,2024-09-16T15:34:51Z
@GabrielSoaresPro,"Rapaz, Datena realizou um sonho agora ❤ finalmente alguém reagiu a essa palhaçada",0,2024-09-16T15:34:12Z
@djanyesteladearaujocouto462,Coitado do povo tão abençoado do estado de SP,1,2024-09-16T15:34:00Z
@pablomenezes4059,"Torço para o Marçal, mas parabenizo o Datena, agiu como um homem tem que agir quando é acusado de algo que não fez. Que se foda candidatura.",0,2024-09-16T15:31:12Z
@taniaamaral7452,O nível dos jornazista esquerda ⬅️ quem ti viu quem te ver  né Datena um agressor,0,2024-09-16T15:30:47Z
@marciliaspenciere9765,"Datena toma vergonha na cara, vc esta culpando O Marçal pela morye da sua sogra disconfia seu fraco!<br>MARÇAL NELES!!!<br>MMMMMMMMMMMMMMMMM",0,2024-09-16T15:29:20Z
@BrenoCruz-qs6im,"Cortaram na melhor parte, zero para esse cinegrafista.",0,2024-09-16T15:29:17Z
@Brabo90,KKKKKKKKKKKKKKKKKKKKKK<br><br>FAZ O Ⓜ️2️⃣8️⃣🤣,0,2024-09-16T15:28:41Z
@milocasut,"Bons tempos quando os desavenços marcavam um duelo !<br>&quot;Oh, brave new world with such people in It !&quot;",0,2024-09-16T15:28:08Z
@joiceleticia1395,😂😂😂😂😂😂,0,2024-09-16T15:27:58Z
@JhonatanFabremenegardo-dj6lj,Não éo Datena que é certinho.agora praticando atoa d violência ao vivo imagina ele numa quebrada armado era um homicídio certo. Exemplo nenhum pra são Paulo...,0,2024-09-16T15:27:55Z
@DeilsonBarros,"Gostei do entretenimento 😂😂. Ninguém liga pra promessa razoável de campanha mesmo. Quando saíram candidatos sérios, como Enéias e Ciro, foram desprezados. Diante disso, Esse formato de picadeiro dos debates políticos ficou interessante 😂😂😂 Continuem 🎉",0,2024-09-16T15:27:20Z
